key,press_time,release_time,dwell_time,flight_time,press_press,release_release
r,721.000,823.200,102.200,148.800,0,0
a,972.000,1087.000,115.000,16.000,251.000,263.800
j,1103.000,1216.800,113.800,82.200,131.000,129.800
2,1299.000,1505.900,206.900,-33.400,196.000,289.100
4,1472.500,1625.900,153.400,54.700,173.500,120.000
0,1680.600,1817.900,137.300,21.900,208.100,192.000
3,1839.800,1965.900,126.100,86.800,159.200,148.000
2,2052.700,2151.800,99.100,-7.100,212.900,185.900
0,2144.700,2227.500,82.800,78.700,92.000,75.700
0,2306.200,2442.800,136.600,16.200,161.500,215.300
3,2459.000,2562.500,103.500,107.500,152.800,119.700
.,2670.000,2816.000,146.000,0,211.000,253.500
